sample_id,subject_id,error_type,MODEL_PREDICTION,MODEL_CONFIDENCE,rom_elbow,elbow_velocity_mean,rep_duration,timestamp,session_id,camera_position,lighting_condition,exercise_type,active_arm,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,up_phase_duration,down_phase_duration,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,notes,up_phase_ratio,down_phase_ratio
260,S05,body_swing,correct,0.57527804,105.4896157621975,117.02831416945988,1.7393841743469238,2026-06-11T08:43:14,session_02,side,normal,biceps,left,3.941668173050601,6.942405214486153,7.11880796458821,0.9193778038024902,0.8200063705444336,128.39278504727196,1641.4719480095223,16.71964227563981,0.97577962407044,incorrect,badan_bergerak,0.5285648155232112,0.4714346095609998
14,S01,body_swing,elbow_swing,0.9264065,104.49516208064998,270.2448707989783,0.8499009609222412,2026-06-15T03:30:53,session_02,side,normal,biceps,right,16.5190702473161,8.255182933069594,38.21435017499817,0.5249695777893066,0.3249313831329345,138.42513270406835,5256.45497572122,46.46590302803431,0.9711732199558843,incorrect,badan_bergerak,0.6176825115448074,0.3823163118488945
156,S04,correct,body_swing,0.8979536,70.24735509828456,56.25127917156355,2.8516411781311035,2026-06-11T02:50:59,session_01,side,normal,biceps,left,3.23135568123944,6.350799841013458,9.268585271546138,1.0471093654632568,1.804531812667847,51.77519447641144,1030.12410775017,9.46136130517798,0.9546127281634204,correct,good_form,0.36719521596833254,0.6328044333565345
160,S04,correct,body_swing,0.87656355,77.78603885509223,57.26169216194759,3.2112152576446533,2026-06-11T02:51:55,session_01,side,normal,biceps,left,1.9398147347002384,7.132498587095535,9.382495935881456,1.3221020698547363,1.889113187789917,52.77180712392573,1109.511307403591,6.2142690836071415,0.9583520940504968,correct,good_form,0.4117138067881062,0.5882858818034056
158,S04,correct,body_swing,0.8832536,77.82151495158038,58.10291584401745,3.1174545288085938,2026-06-11T02:51:32,session_01,side,normal,biceps,left,1.9213144180686967,7.813498230350315,10.33034881705055,1.3168742656707764,1.8005802631378174,63.90433772059432,1657.9300018777742,6.261873122358497,0.9523469627551412,correct,good_form,0.4224195833754362,0.5775800958501403
188,S04,not_full_up,correct,0.745689,72.55316144499822,69.51982888904067,2.1118109226226807,2026-06-11T03:19:25,session_04,side,normal,biceps,left,1.014520199473198,4.425631176131137,8.570922662721005,1.2574238777160645,0.8543870449066162,42.023799572315376,1106.7427781424694,3.6761355271541056,0.9490834816824644,incorrect,rom_tidak_penuh,0.5954241778095736,0.4045753486634095
167,S04,body_swing,elbow_swing,0.87793,80.39283883718167,165.58019377063118,1.0670697689056396,2026-06-11T03:13:20,session_02,side,normal,biceps,left,14.851089347868465,8.068577207993886,36.66555631468849,0.671107292175293,0.3959624767303467,185.19731123249127,4957.414338015592,46.26168242287757,0.9411696800414252,incorrect,badan_bergerak,0.6289248208565993,0.3710742419984343
84,S02,not_full_up,correct,0.74163616,60.50126204448701,131.04133969143422,0.9460241794586182,2026-06-15T03:15:15,session_04,side,normal,biceps,left,2.07054412976261,0.9856148383398684,6.5026573381468165,0.551830530166626,0.3941936492919922,91.26153793430058,1414.8185810913446,7.224506954728087,0.978596988817056,incorrect,rom_tidak_penuh,0.5833148442015275,0.4166840987441554
48,S02,correct,body_swing,0.8490486,103.61298705991696,129.2598109385167,1.7665503025054932,2026-06-10T05:32:14,session_01,side,normal,biceps,left,5.888648775064886,5.126777009309631,19.951973530841418,0.8591461181640625,0.9074041843414308,121.87006797916855,2488.470618868862,18.68021577357612,0.9193311172227064,correct,good_form,0.48634088177656587,0.5136585521487335
190,S04,not_full_up,correct,0.78174686,65.87775371262094,61.4442945126553,2.338503360748291,2026-06-11T03:19:54,session_04,side,normal,biceps,left,1.1548808804052153,3.8501381909494015,7.510605394682184,1.221538543701172,1.1169648170471191,42.49016207696413,802.6804739528553,4.343430825717512,0.9481423812013277,incorrect,rom_tidak_penuh,0.5223588906673219,0.4776406817089299
33,S01,not_full_up,correct,0.7700022,43.22221765418237,30.51592720754334,3.3734471797943115,2026-06-15T03:34:47,session_04,side,normal,biceps,left,0.674265729712145,0.6723037167434602,3.940077212675533,2.535651922225952,0.8377952575683594,37.52261246542896,496.8236313007092,3.6024056154331854,0.971441597506708,incorrect,rom_tidak_penuh,0.7516498807995793,0.24834982276782508
272,S05,not_full_up,correct,0.50473,91.097373373325,125.67026639822676,1.2720260620117188,2026-06-11T08:46:27,session_04,side,normal,biceps,right,1.307870725563364,2.411382814478205,4.791186492269183,0.4938886165618896,0.7781374454498291,167.02932208278955,3741.0588296936753,5.175422671750589,0.9590268222422436,incorrect,rom_tidak_penuh,0.38826895379159754,0.6117302600616059
183,S04,not_full_up,correct,0.70875955,66.5458919256715,67.55257275438356,2.0997016429901123,2026-06-11T03:18:25,session_04,side,normal,biceps,right,1.239567070323442,2.578143188074268,5.51930009964438,1.2440779209136963,0.855623722076416,45.89151916121958,1295.9340877447269,3.965202905113584,0.9659546227194368,incorrect,rom_tidak_penuh,0.5925019550111386,0.4074975687309478
